Title: 纤维素纸浆，例如木浆，或棉短绒的后处理

Code: D21C9/00

========================================

D21C9/02 洗涤

D21C9/04 在扩散洗涤器中

D21C9/06 在过滤器中

D21C9/08 去除油脂、松香、树脂或蜡

D21C9/10 漂白

D21C9/12 用卤素或含卤素的化合物（D21C9/16优先）

D21C9/14 用ClO2或亚氯酸盐

D21C9/147 用氧或其同素异形变体（D21C9/16优先）

D21C9/153 用臭氧

D21C9/16 用过氧化物

D21C9/18 脱水

