Title: 含纤维素原料制浆

Code: D21C3/00

========================================

D21C3/02 用无机碱或碱性化合物，如硫酸盐法

D21C3/04 用酸，酸式盐或酸酐

D21C3/06 二氧化硫；亚硫酸；亚硫酸氢盐

D21C3/08 亚硫酸氢钙

D21C3/10 亚硫酸氢镁

D21C3/12 亚硫酸氢钠

D21C3/14 亚硫酸氢铵

D21C3/16 二氧化氮；硝酸

D21C3/18 用卤素或产生卤素的化合物（漂白纤维素纸浆入D21C9/12）

D21C3/20 用有机溶剂

D21C3/22 制浆工艺方法的其他特征

D21C3/24 连续法

D21C3/26 多段法

D21C3/28 防止泡沫

