Title: 人工交换台（分局设备一般入H04M1/00）

Code: H04M5/00

========================================

H04M5/02 结构零部件（塞孔、插座—插头入H01R24/58）

H04M5/04 用于指示呼叫、监视呼叫或话终接续的装置

H04M5/06 供给自动呼叫分配

H04M5/08 应用塞绳以外的其他连接装置

H04M5/10 每个用户使用各自的插塞

H04M5/12 呼叫分局，例如通过振铃

H04M5/14 应用话音放大器

H04M5/16 带有减少干扰的装置；带有减少线路故障影响的装置

H04M5/18 用于从一个交换台到另一个交换台发送主叫线信号、被叫线类别信号或号码信号的装置

H04M5/20 输入线的号码指示装置

