Title: 望远镜，例如，双筒望远镜；潜望镜；用于观察空心体内部的仪器；取景器；光学瞄准 或观测设备

Code: G02B23/00

========================================

G02B23/02 包含棱镜或反射镜（G02B23/14优先）

G02B23/04 用于分解或组合光束，例如，配备供多个观测者用的目镜（G02B23/10优先）

G02B23/06 具有聚焦作用，例如，抛物面反射镜

G02B23/08 潜望镜

G02B23/10 将附加指示反射到视场中，例如从准直仪的

G02B23/12 具有用于图像变换或增强的装置

G02B23/14 取景器（用于照相设备的入G03B13/02）

G02B23/16 外罩；盖子；安装架；支座，例如，有平衡物的

G02B23/18 用于双筒镜布置

G02B23/20 可折叠外罩（G02B23/18优先）

G02B23/22 水下设备，例如，用于潜水艇潜望镜的

G02B23/24 用于观察空心体内部的仪器，例如，纤维内窥镜

G02B23/26 利用光导的

