Title: 显微镜

Code: G02B21/00

========================================

G02B21/02 物镜

G02B21/04 包含反射镜的

G02B21/06 试样的照明装置

G02B21/08 聚光镜

G02B21/10 供暗场照明（G02B21/14优先）

G02B21/12 供亮场照明（G02B21/14优先）

G02B21/14 供相衬观察照明的

G02B21/16 用于紫外照明的

G02B21/18 具有多光路的布置，例如，用于比较两个试样

G02B21/20 双筒镜布置

G02B21/22 立体布置

G02B21/24 底座结构

G02B21/26 平台；其调节装置

G02B21/28 具有冷却装置

G02B21/30 具有加热装置

G02B21/32 结构上与显微镜组合的微型控制器

G02B21/33 浸润油

G02B21/34 显微镜载物片，例如，在载物片上安装试样

G02B21/36 照相或投影用的布置（G02B21/18优先）

