Title: 为下述用途专门设计的光学物镜（有可变放大率的入G02B15/00）

Code: G02B13/00

========================================

G02B13/02 望远物镜，即“+-”式系统，其中前顶点至像面的距离小于等效焦距的

G02B13/04 反向望远物镜

G02B13/06 全景物镜；所谓“天空广角摄影镜头（Skylenses）”

G02B13/08 变形物镜

G02B13/10 包含棱镜的（G02B13/12优先）

G02B13/12 有可变放大率的

G02B13/14 用于红外或紫外辐射的（G02B13/16优先）

G02B13/16 与图像变换器或增强器联合使用的

G02B13/18 采用具有一个或多个非球面的透镜，例如，用于减少几何象差

G02B13/20 软焦点物镜

G02B13/22 远心物镜或透镜系统

G02B13/24 用于短物距内的再现或复制

G02B13/26 用于以单一放大倍率进行再现

