Title: 调节、控制或安全装置（燃烧发动机的控制入F02D）

Code: F01B25/00

========================================

F01B25/02 通过改变工作流体的吸入或排出而进行调节或控制，例如通过改变压力或流量

F01B25/04 敏感元件

F01B25/06 对速度敏感

F01B25/08 末级执行机构

F01B25/10 工作流体吸入或排出阀的安装或改进

F01B25/12 配有敏感元件或末级执行机构或它们之间的传动系统的装置，例如机械助动装置

F01B25/14 专用于特种机器或发动机的

F01B25/16 对特定条件敏感的安全装置（在蒸汽机中防止水锤作用或类似物的入F01B31/34）

F01B25/18 防止旋转方向错误的

F01B25/20 安全装置的校验操作

F01B25/22 通过改变工作流体方向进行制动

F01B25/24 能量再生式

F01B25/26 警报装置

