Title: 不包含在其他组或与其他组无关的部件、零件或附件

Code: F01B31/00

========================================

F01B31/02 有冰冻现象的发动机的防冻装置

F01B31/04 往复活塞式机器或发动机的力矩平衡装置

F01B31/06 部件相对膨胀的补偿装置

F01B31/08 蒸汽机的冷却；加热；隔热

F01B31/10 蒸汽机的润滑装置

F01B31/12 测量装置或指示装置

F01B31/14 改变压缩比

F01B31/16 专门适用于蒸汽机的消音器

F01B31/18 排水

F01B31/20 汽缸的排水

F01B31/22 空转装置，如有旁通阀

F01B31/24 活塞和主轴间脱离连接的装置

F01B31/26 蒸汽机特有的其他部件、零件或附件

F01B31/28 汽缸或汽缸盖

F01B31/30 蒸汽导管装置

F01B31/32 真空断路器的安装或改进

F01B31/34 防止水锤或防止水渗透的安全装置

F01B31/36 蒸汽供应的自动切断装置

