Title: 其他类目不包含的绘图仪器或书写或绘图器具或附件（用于表面装饰的模板入 B44D）

Code: B43L13/00

========================================

B43L13/02 保持平行的制图机或绘图装置（丁字尺入B43L7/02）

B43L13/04 尺的导向装置

B43L13/06 有转动导杆的

B43L13/08 分度器头

B43L13/10 用于复制、放大或缩小的比例绘图仪（机床仿形加工装置入B23Q）

B43L13/12 多重书写装置

B43L13/14 用于画透视图的装置

B43L13/16 徒手画的

B43L13/18 有光学或投影设备的（光学系统或器具入G02B；投影器入G03B）

B43L13/20 曲线板或样板

B43L13/22 可调整的曲线板

B43L13/24 使绘图设备逐渐移动的装置，例如用于画剖面线的

