Title: 圆形曲线绘图仪或类似仪器（曲线板或样板入B43L13/20）

Code: B43L9/00

========================================

B43L9/02 圆规（比例圆规入B43L9/08；用于绘制螺旋线的圆规入B43L11/06）

B43L9/04 画大圆的长臂圆规

B43L9/06 用扁簧制成圆规臂的

B43L9/08 比例圆规或分规

B43L9/10 有绘制多边形的装置

B43L9/12 分规（比例分规入B43L9/08）

B43L9/14 带有可变臂端用于转换为圆规、分规或卡规的（B43L9/24优先）

B43L9/16 圆规、分规或卡规共有的零件

B43L9/18 有肘节的臂杆

B43L9/20 枢轴

B43L9/22 与枢轴分置的臂杆角度调整装置

B43L9/24 用于在臂杆上安装笔尖或书写器具的装置

