Title: 烟油滤芯，例如过滤嘴、过滤插入物；特别适用于模拟吸烟装置的过 滤器;雪茄或纸烟的烟嘴

Code: A24D3/00

========================================

A24D3/02 烟油滤芯的制造

A24D3/04 以形状或结构为特征的烟油滤芯

A24D3/06 烟油滤芯材料的使用

A24D3/08 有机材料为载体或主要成分的（以离子交换材料的入A24D3/12）

A24D3/10 以纤维素或纤维素衍生物的

A24D3/12 离子交换材料的

A24D3/14 有机材料作为添加物的（离子交换材料的入A24D3/12）

A24D3/16 无机材料的

A24D3/17 特别适用于模拟吸烟装置的过滤器

A24D3/18 雪茄烟或纸烟的烟嘴；其制造（烟草烟雾过滤器的制造入A24D3/02）

