Title: 碰撞引信，即只靠弹药的碰撞而动作的引信

Code: F42C1/00

========================================

F42C1/02 使用在结构上与引信结合的撞针的

F42C1/04 靠碰撞时元件的惯性操作的

F42C1/06 用于任一方向的碰撞

F42C1/08 使用引信点火后的延迟作用（定时引信入F42C9/00）

F42C1/09 为将弹药或弹头送入空中，触发推进装药的引信，例如在回弹的弹体中的

F42C1/10 无撞针的

F42C1/12 使用引信点火后的延迟作用（定时引信入F42C9/00）

F42C1/14 在距地面或目标的预定距离以突出元件的方法操作的

