Title: 醛或酮只与酚的缩聚物

Code: C08G8/00

========================================

C08G8/02 酮的

C08G8/04 醛的

C08G8/06 糠醛的

C08G8/08 甲醛的，例如在反应中就地生成的甲醛

C08G8/10 与苯酚

C08G8/12 与仅在羟基邻位或对位有1个烃取代基的一元酚，如对-叔丁基苯酚

C08G8/14 与卤代酚

C08G8/16 与氨基或硝基酚

C08G8/18 与羧基或磺酸基取代的酚

C08G8/20 与多元酚

C08G8/22 间苯二酚

C08G8/24 与C08G8/10到C08G8/20中不只一组所包括的两种或更多种酚的混合物

C08G8/26 由醛与酮的混合物

C08G8/28 化学改性的缩聚物

C08G8/30 用不饱和化合物，如萜烯

C08G8/32 用有机酸或它的衍生物，如脂肪油

C08G8/34 用天然树脂或树脂酸，如松香

C08G8/36 用醚化

C08G8/38 用醛或酮缩聚到高分子化合物上而制备的嵌段或接枝聚合物

