Title: 不包括在C08G12/00到C08G71/00组内的，在高分子主链中形成含氮的键合，有或没有氧 或碳键合反应得到的高分子化合物

Code: C08G73/00

========================================

C08G73/02 聚胺（含少于11个单体单元入C07C）

C08G73/04 由烯化亚胺衍生的

C08G73/06 在高分子主链中有含氮杂环的缩聚物；聚酰肼；聚酰胺酸或类似的聚酰亚胺母体

C08G73/08 聚酰肼；聚三唑；聚氨基三唑；聚二唑

C08G73/10 聚酰亚胺；聚酯-酰亚胺；聚酰胺-酰亚胺；聚酰胺酸或类似的聚酰亚胺的母体

C08G73/12 不饱和聚酰亚胺母体

C08G73/14 聚酰胺-酰亚胺

C08G73/16 聚酯-酰亚胺

C08G73/18 聚苯并咪唑

C08G73/20 吡酮类

C08G73/22 聚苯并唑

C08G73/24 氟代亚硝基有机化合物与另一氟有机化合物的共聚物，如亚硝基橡胶

C08G73/26 三氟亚硝基甲烷与氟-烯烃

