Title: 脸盆架；及其附属用品

Code: A47K1/00

========================================

A47K1/02 手提式梳妆台；洗脸柜或架

A47K1/04 盆（与排水管道连通的入E03C1/12）；水罐；其支撑装置

A47K1/05 盆或罐的支撑装置

A47K1/06 洗脸盆用的可更换的卫生衬里或罩

A47K1/08 梳妆台的辅助设备，例如玻璃板，及其支架（毛巾架入A47K10/00）

A47K1/09 饮水玻璃杯、牙刷、头发刷等用的支架

A47K1/10 能安在浴缸上带有洗手盆的可分离式框架

A47K1/12 能附加在水池上的洗脸盆；可折叠的洗脸盆

A47K1/14 脸盆、浴缸、水池等用的塞子

