Title: 各种便器用的座或盖

Code: A47K13/00

========================================

A47K13/02 塑料的

A47K13/04 座位缓冲垫

A47K13/06 儿童用的辅助座具或携带式座

A47K13/08 有尿斗的盖

A47K13/10 升降装置

A47K13/12 铰链式的

A47K13/14 便器座的防护盖

A47K13/16 单张纸的

A47K13/18 纸筒式的

A47K13/20 有切割装置的

A47K13/22 卷起式的（A47K13/20优先）

A47K13/24 未列入A47K13/02至A47K13/22各组的或与这些组关系不大的零件或部件

A47K13/26 座或盖的固定装置

A47K13/28 可调节的座或盖

A47K13/30 有加热、脱臭等设备的座

