Title: 肥皂、牙膏或类似物的支架或配给器

Code: A47K5/00

========================================

A47K5/02 肥皂盒或容器

A47K5/03 与墙壁或脸盆架分开的

A47K5/04 肥皂块的其他支架

A47K5/05 具有肥皂块的固定装置，例如夹子、栓、磁铁

A47K5/06 肥皂配给器

A47K5/08 固体肥皂用的

A47K5/09 有刮或擦的装置的

A47K5/10 粉末状肥皂用的

A47K5/12 液态或糊状肥皂用的

A47K5/122 用挤压瓶等

A47K5/13 翻转式的

A47K5/14 产生泡沫的装置

A47K5/16 用机械驱动的

A47K5/18 肥皂和牙膏等通用的；与玻璃杯、牙刷等容器组合的

