Title: 在不存在氢的情况下，用其他化学品精制烃油

Code: C10G29/00

========================================

C10G29/02 非金属

C10G29/04 金属或沉积在载体上的金属

C10G29/06 金属盐或沉积在载体上的金属盐

C10G29/08 含低价金属的

C10G29/10 硫化物

C10G29/12 卤化物

C10G29/16 金属氧化物

C10G29/20 不含金属原子的有机化合物

C10G29/22 含有氧作为仅有的杂原子的

C10G29/24 醛或酮

C10G29/26 卤化烃

C10G29/28 含有硫作为仅有的杂原子的，如硫醇，或硫和氧作为仅有的杂原子

