Title: 在不存在氢的情况下，用酸、酸式化合物或含酸液体（如酸渣）精制烃油

Code: C10G17/00

========================================

C10G17/02 用酸或含酸液体，如酸渣

C10G17/04 形成不相混的两相的液-液处理

C10G17/06 使用硫的衍生酸或它的酸渣

C10G17/07 使用氢卤酸或卤的含氧酸（生成卤素的酸入C10G27/02）

C10G17/08 用成酸氧化物（用CO2或SO2作为选择性溶剂的精制入C10G21/06）

C10G17/085 用发烟硫酸

C10G17/09 用酸式盐

C10G17/095 用“固体酸”，如沉积迂载体上的磷酸

C10G17/10 回收用过的精制剂

