Title: 在不存在氢的情况下，烃油的催化裂化（与熔融金属或熔融盐直接接触的裂化入 C10G9/34）

Code: C10G11/00

========================================

C10G11/02 以所用的催化剂为特征的

C10G11/04 氧化物

C10G11/05 晶状硅铝酸盐，如分子筛

C10G11/06 硫化物

C10G11/08 卤化物

C10G11/10 用固定催化剂床

C10G11/12 用不连续预热的不移动的固态催化剂，如送风和运行

C10G11/14 用经预热的移动的固态催化剂

C10G11/16 按“移动床”技术的

C10G11/18 按“流化床”技术的

C10G11/20 与惰性加热气体或蒸汽直接接触

C10G11/22 由待裂化的物料的部分燃烧产生

