Title: 体内试验用的配制品

Code: A61K49/00

========================================

A61K49/04 X射线对比用配制品

A61K49/06 核磁共振[NMR]造影剂；磁共振[MRI]成像造影剂

A61K49/08 以载体为特征的

A61K49/10 有机化合物

A61K49/12 大分子化合物

A61K49/14 肽，例如蛋白

A61K49/16 抗体；免疫球蛋白；其片段

A61K49/18 以特殊物理形式为特征的，例如乳液、微囊、脂质体

A61K49/20 含游离基的

A61K49/22 回声成像剂；超声成像剂

