Title: 用于两种热交换介质的固定管状通道组件的热交换装置，各种介质与通道壁不同的侧面 接触

Code: F28D7/00

========================================

F28D7/02 通道为螺旋管形的（F28D7/10优先）

F28D7/04 通道为盘管形的（F28D7/10优先）

F28D7/06 通道成单一U形弯管的（F28D7/10优先）

F28D7/08 通道为其他弯曲形式的，例如蛇形或锯齿形的（F28D7/10优先）

F28D7/10 将一个通道配置在另一个里面的，例如同心的

F28D7/12 外管一端封闭的，即返回式的（F28D7/14优先）

F28D7/14 两个管道成弯曲形的

F28D7/16 通道平行排列且有间隔（F28D7/02至F28D7/10优先）

