Title: 活动靶，即在射击时移动的（F41J2/00优先）

Code: F41J9/00

========================================

F41J9/02 地面靶

F41J9/04 海上靶

F41J9/06 牵引的

F41J9/08 空中靶，例如靶机、风筝、气球

F41J9/10 牵引的

F41J9/14 电影靶，例如活动图片靶

F41J9/16 泥塑鸽靶；泥塑圆盘靶

F41J9/18 所用的收集或投掷设备

F41J9/20 带有弹簧操作的投掷器

F41J9/22 靠人工作用使投掷器处于待发状态的

F41J9/24 靠电动装置使投掷器处于待发状态的

F41J9/26 用流体装置操作的

F41J9/28 靠人工操作的

F41J9/30 以使用靶储存装置为特征的

F41J9/32 以防止超越飞行路线的装置为特点的

