Title: 称量仪器的零部件

Code: G01G21/00

========================================

G01G21/02 支承装置

G01G21/04 刀口支承的

G01G21/06 滚珠或滚柱支承的

G01G21/07 挠性片支承的

G01G21/08 支承座或其调节装置

G01G21/10 浮动悬挂；减震器装置

G01G21/12 防止误操作的装置

G01G21/14 横梁

G01G21/16 组合结构的横梁；不同横梁间的连接

G01G21/18 横梁和称盘的连接

G01G21/20 精密称量仪器用的

G01G21/22 称盘或其他称量容器；称量平台

G01G21/23 称量平台的支承或悬置（G01G21/24优先）

G01G21/24 保证称盘平行动作的导套或杠杆机构

G01G21/26 配重件；砝码；成套的砝码；砝码的夹持器

G01G21/28 框架；外罩

G01G21/30 防止灰尘污染的装置

