Title: 连续流动材料在流动时称量的仪器；输送带秤

Code: G01G11/00

========================================

G01G11/02 具有机械称重传感器的

G01G11/04 具有电气称重传感器的

G01G11/06 具有流体称重传感器的

G01G11/08 具有控制装料或卸料速度装置的

G01G11/10 通过控制传送带上的材料高度

G01G11/12 通过控制传送带的速度

G01G11/14 应用总和或积累装置的

G01G11/16 是电的或电子装置

G01G11/18 应用数字计数的

G01G11/20 是机械装置

