Title: 以应用可产生弹性形变的元件为特征的称量仪器，例如弹簧秤

Code: G01G3/00

========================================

G01G3/02 其中称量部件是螺旋弹簧的

G01G3/04 应用多个弹簧的

G01G3/06 其中称量部件是盘旋弹簧的

G01G3/08 其中称量部件是片簧的

G01G3/10 其中测量的是称量部件的扭转形变

G01G3/12 其中称量部件当称量时处于受压力或张力作用的固体形式

G01G3/13 具有压电或压阻的性质

G01G3/14 测量电阻的变化（G01G3/13优先）

G01G3/142 它所专用的电路

G01G3/145 包括与基准值的比较（G01G3/147优先）

G01G3/147 包括数字计数

G01G3/15 测量磁性质的变化

G01G3/16 测量物体振荡频率的变化

G01G3/18 温度补偿装置

