Title: 生产特殊品种印刷品的印刷过程，例如图画（特殊的图案或图画本身入B44F；用印 刷技术制造印刷电路H05K3/12）

Code: B41M3/00

========================================

B41M3/02 地图；海图或气象图

B41M3/04 乐谱

B41M3/06 纹理印刷；荧光印刷；立体图像；仿制图，例如细胞组织图，织物图

B41M3/10 水印标记

B41M3/12 图画转印或类似过程，如贴花纸印刷

B41M3/14 证券印刷

B41M3/16 布来叶盲字印刷（布来叶盲字印刷用的打字排版机或选择性印刷机入B41J3/32）

B41M3/18 特殊种类的壁纸

