Title: 手镯；手表带；手镯或手表带的紧固物

Code: A44C5/00

========================================

A44C5/02 连接结构

A44C5/04 可伸展的

A44C5/06 有惰夹子的

A44C5/08 有分别连接的

A44C5/10 不可伸展的

A44C5/12 C-弹簧形手镯或手表托

A44C5/14 以固定于手表或类似物的方式为特征的

A44C5/16 通过折叠带

A44C5/18 带的扣紧物（带扣入A44B11/00）

A44C5/20 开口带用的

A44C5/22 闭口带用的

A44C5/24 有折叠装置的

