Title: 以结构未知或不完全确定的添加剂为特征的润滑组合物（链中碳原子少于30的、结构未 知或不完全确定的羧酸入C10M129/56）

Code: C10M159/00

========================================

C10M159/02 天然产物

C10M159/04 石油馏分，如焦油，溶剂

C10M159/06 蜡，如天然地蜡、地蜡、矿脂蜡或疏松石蜡

C10M159/08 脂肪油

C10M159/10 橡胶

C10M159/12 反应产物〔4〕

C10M159/14 用弗瑞德-克来福特（Friedel-Crafts）缩合反应得到的

C10M159/16 用曼尼希（Mannich）反应得到的

C10M159/18 金属配合物

C10M159/20 有过量中和碱的反应混合物，如高碱或强碱产物

C10M159/22 含酚基的

C10M159/24 含磺基的

