Title: 以添加剂是无机材料为特征的润滑组合物

Code: C10M125/00

========================================

C10M125/02 碳；石墨

C10M125/04 金属；合金

C10M125/06 硫

C10M125/08 金属的碳化物或氢化物

C10M125/10 金属氧化物、氢氧化物、碳酸盐或碳酸氢盐

C10M125/12 金属羰基化合物

C10M125/14 水（含水10以上的含水润滑组合物入C10M173/00）

C10M125/16 过氧化氢；充氧水

C10M125/18 含卤素的化合物

C10M125/20 含氮的化合物

C10M125/22 含硫、硒或碲的化合物

C10M125/24 含磷、砷或锑的化合物

C10M125/26 含有硅或硼的化合物，例如二氧化硅，砂

C10M125/28 玻璃

C10M125/30 黏土

