Title: 以含氮的高分子化合物作添加剂为特征的润滑组合物

Code: C10M149/00

========================================

C10M149/02 仅由碳-碳不饱和键反应得到的高分子化合物

C10M149/04 含有1个与氨基键合的不饱和基的单体的

C10M149/06 含有1个与酰氨基或亚氨基键合的不饱和基的单体

C10M149/08 含有1个与腈基键合的不饱和基的单体的

C10M149/10 含有1个与含氮的杂环键合的不饱和基的单体的

C10M149/12 仅由碳-碳不饱和键以外的反应得到的高分子化合物

C10M149/14 包括缩合反应

C10M149/16 含氮单体与醛或酮之间

C10M149/18 聚酰胺

C10M149/20 聚脲

C10M149/22 聚胺

