Title: 机械排字设备的种类或型号，所排的铅字是浇铸的或用字模制造的

Code: B41B7/00

========================================

B41B7/02 用固定的组合字模操作（零件入B41B9/00）

B41B7/04 供铸造单个字符或插铅用的，如“单字铸排”机

B41B7/06 供排字、整版和铸造整行字模用，如“单行铸排”机

B41B7/08 具有供选出和配好的单个字符或插铅用的分离字模操作的（零件入B41B11/00）

B41B7/10 其中字条是由字模排成的，而其单个铅字或插铅是铸造的，如纵行铅字

B41B7/12 其中整版字行是由字模排成的且成行铅字是铸成一体的

B41B7/14 字模是用手工排的

B41B7/16 成行字模用机械排版和整版，如“莱诺”排铸机，“英特泰普”整行排铸机

B41B7/18 字模用铁丝引导，如“凸版”排铸机

