Title: 具有照相前把字排成行的可动字盘的照相排字机

Code: B41B15/00

========================================

B41B15/02 带有可以整行照相的器具

B41B15/04 并带有单个字符的字盘的

B41B15/06 并带有全套字符的字盘的，如能滑动的伸长件，转轮

B41B15/08 带有连续拍照所排字符的设备

B41B15/10 零件

B41B15/12 字盘；其清洁装置

B41B15/14 带有单个字符的，或兼有单个字符的不同字体的

B41B15/16 兼有不同字符的

B41B15/18 具有能配成复杂文字的部分字符，如东方国家文字

B41B15/20 装卸或贮存字盘的装置

B41B15/22 字模库

B41B15/24 供齐行用

B41B15/26 供一个字符重复使用的

B41B15/28 照相装置（一般入G03）

B41B15/30 排字照相机

B41B15/32 胶片处理机构

B41B15/34 调整放大或记数器；修正曝光时间

