Title: 含无机卤氧酸盐，如氯酸盐、高氯酸盐的组合物

Code: C06B29/00

========================================

C06B29/02 碱金属的

C06B29/04 含无机非炸药成分或非热剂成分

C06B29/06 成分是氰化物；成分是铁、铬或锰的氧化物

C06B29/08 含有机非炸药成分或非热剂成分

C06B29/10 成分是染料或着色剂

C06B29/12 含碳或硫

C06B29/14 含碘或碘化物

C06B29/16 含硝化的有机化合物

C06B29/18 化合物是硝化的甲苯或硝化的苯酚

C06B29/20 化合物是硝化纤维素

C06B29/22 盐是高氯酸铵

