Title: 有关染色或印花纺织品或染皮革、毛皮或各种形状的固体高分子物质方面的其他特征

Code: D06P5/00

========================================

D06P5/02 后处理

D06P5/04 用有机化合物

D06P5/06 含氮的

D06P5/08 高分子的

D06P5/10 用含金属的化合物

D06P5/12 染色或印花前保留部分材料

D06P5/13 易褪染色或褪色染料

D06P5/15 局部去除染料

D06P5/17 偶氮染料

D06P5/20 影响染色的物理处理，如超声波或电

D06P5/22 用与纤维共反应的化学方法改变染料对于纺织材料的亲合力

D06P5/24 转移印花

D06P5/26 热转移印花

D06P5/28 利用可升华的染料

D06P5/30 喷墨印花

