Title: 以弹簧与减振器组合的布置、定位或类别为特点的弹性悬架，例如套筒型的（组合 弹簧和减振器本身入F16F）

Code: B60G15/00

========================================

B60G15/02 有机械弹簧的

B60G15/04 还有机械减振器的

B60G15/06 还有流体减振器的

B60G15/07 连接到转向轴上的减振器及布置在减振器周围的弹簧

B60G15/08 有流体弹簧的

B60G15/10 还有机械减振器的

B60G15/12 还有流体减振器的

B60G15/14 连接到转向轴上的减振器及布置在减振器周围的弹簧

