Title: 能将两个或多个电流或电压转换为单一机械位移的仪表（G01R9/00优先）

Code: G01R7/00

========================================

G01R7/02 用于形成和值或差值

G01R7/04 用于形成商值（用于测量电阻的入G01R27/08）

G01R7/06 动铁式

G01R7/08 动圈式，例如交叉线圈式

G01R7/10 具有多于两个可动线圈的

G01R7/12 用于形成乘积

G01R7/14 动铁式

G01R7/16 同时具有固定和可动线圈的，即功率计

G01R7/18 具有与固定和可动线圈进行磁耦合的铁芯

