Title: 显影剂

Code: G03G9/00

========================================

G03G9/06 显影剂为电解质的

G03G9/08 带有调色剂颗粒的〔2〕

G03G9/083 磁性调色剂颗粒

G03G9/087 调色剂颗粒的黏接剂

G03G9/09 调色剂颗粒的色素

G03G9/093 用胶囊包裹的调色剂颗粒

G03G9/097 增塑剂；电荷控制剂

G03G9/10 以载体颗粒为特征的

G03G9/107 带有磁性组分的

G03G9/113 带有外包裹层的

G03G9/12 在液体显影混合剂中

G03G9/125 以液态为特征的

G03G9/13 以聚合物组分为特征的

G03G9/135 以稳定剂或电荷控制剂为特征的

G03G9/16 不包括在G03G9/06至G03G9/135组中的显影剂，例如，溶液，气溶胶

G03G9/18 不均匀润湿的液体显影剂

