Title: 高弹性车轮

Code: B60B9/00

========================================

B60B9/02 使用弹簧的（弹性辐条式车轮入B60B9/26）

B60B9/04 叶片状的

B60B9/06 螺旋形的

B60B9/08 平卷式的

B60B9/10 橡胶的或类似材料的

B60B9/12 与轮轴线同心的套筒形或环形的

B60B9/14 具有限制轮毂和轮的其他部分之间横向相对运动装置的

B60B9/16 为保证导电性而改进的

B60B9/18 用流体的（在轮辐内的入B60B9/26）

B60B9/20 在与轮轴同心的环箍中

B60B9/22 可充气的

B60B9/24 带有活塞和缸筒的

B60B9/26 包含弹性辐条的

B60B9/28 有伸缩作用的

