Title: 车轴总成；及其部件（用于刚性车轴或轴壳的弹性悬架入B60G9/00；转向车辆的转 向轴入B62D）

Code: B60B35/00

========================================

B60B35/02 非驱动轴，即不传递转矩的（用于转矩传递元件的轴壳入B60B35/16）

B60B35/04 直的

B60B35/06 曲的

B60B35/08 闭合空心截面的

B60B35/10 可按轮距变化调整的

B60B35/12 传递转矩的轴

B60B35/14 组合或拼合，例如半轴；轴的几个部分或部段之间的连接（B60G3/24优先）

B60B35/16 以传递转矩元件如轴的轴壳为特征的

B60B35/18 以传递转矩元件在轴壳中的轴承布置为特征的

