Title: 灭火设备的控制（热敏感装置入G01K）

Code: A62C37/00

========================================

A62C37/08 含敏感器的出口装置，或其本身是敏感器，即本身带有喷洒器

A62C37/09 可伸缩的或可调节的

A62C37/10 释放装置，如电释放的

A62C37/11 热敏感的

A62C37/12 有保险片的

A62C37/14 有易碎容器的

A62C37/16 有热膨胀片的

A62C37/20 用后复原；其工具

A62C37/21 自动的

A62C37/36 由与出口装置分开的敏感器产生的驱使信号

A62C37/38 利用敏感器和调节器，例如阀，在危险区的

A62C37/40 在敏感器和调节器之间具有电连接件

A62C37/42 在敏感器和调节器之间具有机械连接件，例如连杆、控制杆

A62C37/44 只在危险区使用的敏感器

A62C37/46 调节器的结构

A62C37/48 热敏引发器

A62C37/50 确定设备备用状态的试验或指示装置

