Title: 动物的房舍；所用设备

Code: A01K1/00

========================================

A01K1/01 粪尿的清除（A01K1/015优先）

A01K1/015 地板覆盖物，例如垫板

A01K1/02 猪圈；狗窝；兔箱等

A01K1/03 家畜或实验用动物的房舍

A01K1/035 饲养家畜用的装置，例如房舍里的装置或狗铺

A01K1/04 系绳用桩或类似装置

A01K1/06 拴住动物的装置，例如缰绳、套环、颈部枷杆或拴系链

A01K1/062 颈部枷杆

A01K1/064 拴系链

A01K1/08 同时可放出几只动物的装置

A01K1/10 饲喂架

A01K1/12 挤奶站

