Title: 禽类的房舍

Code: A01K31/00

========================================

A01K31/02 门的装置；自动式开门装置

A01K31/04 粪板；清除粪尿的装置

A01K31/06 笼

A01K31/07 移动式笼（A01K31/08优先）

A01K31/08 折叠式笼

A01K31/10 门；活板门

A01K31/12 栖木

A01K31/14 巢

A01K31/16 家禽的产卵巢；蛋的收集

A01K31/17 层架式产卵鸡笼组

A01K31/18 雏鸡鸡笼或舍；孵房

A01K31/19 孵房

A01K31/20 加热装置

A01K31/22 家禽踏板

A01K31/24 鸽舍；鸽棚

