Title: 机电传感器的振膜；纸盆

Code: H04R7/00

========================================

H04R7/02 以结构为特征的

H04R7/04 平面振膜

H04R7/06 由几部分或多层组成的

H04R7/08 由被空气或其他流体分开的叠层组成的

H04R7/10 由互相接触的叠层组成的

H04R7/12 非平面振膜或纸盆

H04R7/14 波纹形的、褶状的或加肋条的

H04R7/16 振膜或纸盆的固定或拉紧

H04R7/18 在边缘

H04R7/20 用韧性材料、弹簧、绳或多股线将振膜或纸盆弹性固定到支承物上

H04R7/22 将振膜或纸盆固定到底座上的凸缘

H04R7/24 用直接作用于振膜或纸盆的自由部分的装置拉紧

H04R7/26 用直接作用于振膜或纸盆的自由部分的装置阻尼

