Title: 不可偏转车轮的转向机构；履带或类似部件的转向机构

Code: B62D11/00

========================================

B62D11/02 用差速驱动相对的车辆两侧的行走部件

B62D11/04 用分开的动力源

B62D11/06 用单个主动力源

B62D11/08 用制动器或离合器作为主转向作用装置

B62D11/10 用对边具有不同功率输出的传动装置，例如双差速或外摆线转动装置

B62D11/12 用单独变速传动装置的

B62D11/14 通过对一侧供给附加动力实现不同的功率输出，例如动力来源于辅助动力源

B62D11/16 附加动力是机械供给的

B62D11/18 附加动力是液力供给的

B62D11/20 具有承载履带摆动转向架的履带转向机构（B62D11/02优先）

B62D11/22 履带转向是通过偏转履带滚子或类似部件完成的

B62D11/24 专门适用于兼有可转向车轮和履带车辆的履带转向机构

