Title: 调味料；增香剂或佐料；人造甜味剂；食盐；食用盐代用品；它们的 制备或处理

Code: A23L27/00

========================================

A23L27/10 天然调味、增香剂或佐料；其提取物

A23L27/12 从水果中，例如：香精油

A23L27/14 干香料

A23L27/16 洋葱制的

A23L27/18 芥末

A23L27/20 合成调味料或增香剂或佐料

A23L27/21 含氨基酸的

A23L27/22 含谷氨酸的

A23L27/23 含核苷酸的

A23L27/24 发酵制备的

A23L27/26 带肉味的

A23L27/27 带熏味的

A23L27/28 咖啡或可可香味

A23L27/29 水果香味

A23L27/30 人工甜味剂

A23L27/40 食盐；食用盐代用品

A23L27/50 酱油

A23L27/60 色拉调味料；蛋黄酱；蕃茄酱

