Title: 拉床或拉削装置

Code: B23D37/00

========================================

B23D37/02 具有水平设置的刀具拉床

B23D37/04 用于拉削内表面

B23D37/06 用于拉削外表面

B23D37/08 具有垂直设置刀具的拉床

B23D37/10 用于拉削内表面

B23D37/12 用于拉削外表面

B23D37/14 有可旋转排列的刀具的拉床

B23D37/16 用于拉削螺旋槽

B23D37/18 具有固定在环形链或环形带上的刀具的拉床

B23D37/20 有相对向加工装置的拉床

B23D37/22 用于特殊目的（B23D37/14优先）

