Title: 提取食用蛋白质组合物；整批打蛋和分离蛋黄与蛋白

Code: A23J1/00

========================================

A23J1/02 从肉类

A23J1/04 从鱼类或其他海洋动物

A23J1/06 从血液

A23J1/08 从蛋类

A23J1/09 分离蛋黄与蛋白

A23J1/10 从毛发、羽毛、角、皮、皮革、骨等

A23J1/12 从谷种、小麦、糠麸或废糖蜜

A23J1/14 从豆科或其他蔬菜种籽；从油饼或其他含油种籽

A23J1/16 从淀粉厂废水或类似废物

A23J1/18 从酵母

A23J1/20 从奶，例如酪蛋白（凝乳或干酪入A23C）；从乳清

A23J1/22 干酪蛋白

