Title: 用于车床或镗床的刀具（用于钻床的入B23B51/00）；一般类似的刀具；及其附件

Code: B23B27/00

========================================

B23B27/02 刀具主要部分是直线形的而且切削刃成一角度的（B23B27/04至B23B27/08优先）

B23B27/04 切断刀（B23B27/08优先）

B23B27/06 定形切削刀具，即成形刀

B23B27/08 主要部分是片状或圆盘状的刀具

B23B27/10 带专门冷却装置的刀具

B23B27/12 有连续旋转的圆切削刃的；其所用的夹具

B23B27/14 刀头或刀片为特种材料的刀具

B23B27/16 有可换刀头，如能夹紧的

B23B27/18 有刚性固定的刀头或刀片，如用铜焊的

B23B27/20 有钻石刀头的

B23B27/22 带断屑器的刀具

B23B27/24 滚花刀

