Title: 衣服的零件或其制作（纽扣、别针、带扣、拉链或类似物入A44B）

Code: A41D27/00

========================================

A41D27/02 衬里

A41D27/04 可脱卸的衬里

A41D27/06 使坚硬衬里

A41D27/08 修饰品；装饰物

A41D27/10 袖子；袖孔

A41D27/12 垫布或保护层

A41D27/13 腋下吸汗垫布

A41D27/14 在衣服的夹里处

A41D27/16 衣领衬垫

A41D27/18 布领

A41D27/20 衣袋；制作或缝在衣袋内的口袋

A41D27/22 挂衣用的圈或钩（有锁定装置的入E05B69/00）

A41D27/24 边缘；缝

A41D27/26 肩部衬垫；臀部衬垫；腰垫

A41D27/28 透气部件

