Title: 装置的工作流体只用于喷射，即装置不带有驱动压气机或涵道风扇的涡轮机或其他发动 机；及其控制（火箭发动机装置入F02K9/00）

Code: F02K7/00

========================================

F02K7/02 喷流是间歇式的，即脉冲式喷流

F02K7/04 带有谐振燃烧室

F02K7/06 带有带阀的燃烧室

F02K7/067 有空气动力阀的

F02K7/075 带有多脉冲式喷气发动机

F02K7/08 喷流是连续式的

F02K7/10 以具有冲压为特点的，即空气热动力冲压发动机或冲压式喷气发动机

F02K7/12 喷射引入式喷气发动机

F02K7/14 带有外燃的，如超音速燃烧冲压发动机

F02K7/16 冲压/涡轮喷气组合发动机

F02K7/18 冲压/火箭组合发动机

F02K7/20 冲压/脉冲组合发动机

