Title: 滚轮溜冰鞋；滑冰板

Code: A63C17/00

========================================

A63C17/01 滑板（A63C17/02至A63C17/28优先）

A63C17/02 具有安排成两对轮子的

A63C17/04 具有安排成不同于两对轮子的

A63C17/06 单轨式

A63C17/08 单轮式

A63C17/10 具有履带的

A63C17/12 具有驱动机构的

A63C17/14 有制动装置的，例如足尖制动器、飞轮滚柱式离合器

A63C17/16 供特殊形状或特殊配置跑道使用的

A63C17/18 可转换成冰鞋或滑雪鞋的

A63C17/20 具有可固定住轮子，使溜冰者可以走路用的

A63C17/22 滚轮溜冰鞋的轮子

A63C17/24 具有球状或球形滑行表面的

A63C17/26 有特别辅助装置的，例如有照明、标记或顶出装置

A63C17/28 有入座设备的

