Title: 网络规划，例如覆盖或业务量规划工具；网络配置，例如资源划分或小区结构

Code: H04W16/00

========================================

H04W16/02 在各网络组成部分当中的资源划分，例如，再用划分

H04W16/04 适应于业务量的资源划分

H04W16/06 混合资源划分，例如，信道借用

H04W16/08 卸载装置

H04W16/10 动态资源划分

H04W16/12 固定资源划分

H04W16/14 频谱共享装置

H04W16/16 用于PBS〔专用基站〕装置

H04W16/18 网络规划工具

H04W16/20 用于室内覆盖或短距离网络配置

H04W16/22 业务量模拟工具或模型

H04W16/24 小区结构

H04W16/26 小区增强，例如用于隧道和建筑物遮蔽

H04W16/28 使用波束控制

H04W16/30 特殊小区形状，例如圆或环形小区

H04W16/32 分层小区结构

