Title: 专门适用于无线通信网络的接口

Code: H04W92/00

========================================

H04W92/02 网络互连装置

H04W92/04 在不同分层网络设备之间的接口

H04W92/06 在网关和公共网络设备之间

H04W92/08 在用户和终端设备之间

H04W92/10 在终端设备和接入点之间，即，无线空中接口

H04W92/12 在接入点和接入点控制器之间

H04W92/14 在接入点控制器和骨干网络设备之间

H04W92/16 在相似分层设备之间的接口

H04W92/18 在终端设备之间

H04W92/20 在接入点之间

H04W92/22 在接入点控制器之间

H04W92/24 在骨干网络设备之间

