Title: 用预制砌块铺砌的铺面(专门适用于运动场或体育场的入E01C13/04；专门适用于小路 、人行道或自行车道的入E01C15/00；人造石的生产入C04B；建筑石材入E04C；地板入 E04F)

Code: E01C5/00

========================================

E01C5/02 用天然石铺砌的，例如，块石

E01C5/04 用砖铺砌的

E01C5/06 用水泥或类似胶结材料砌块铺筑的

E01C5/08 加筋砌块

E01C5/10 预应力钢筋砌块

E01C5/12 用沥青胶合料砌块铺筑的

E01C5/14 用木块铺筑的

E01C5/16 用金属块铺筑的（钢格栅入E01C9/10）

E01C5/18 用橡胶块铺筑的

E01C5/20 用塑料块铺筑的（E01C5/18优先）

E01C5/22 用E01C5/02至E01C5/20内所列两个小组或两个以上小组的混合材料制成的砌块铺筑的

