Title: 火柴的机械加工

Code: C06F1/00

========================================

C06F1/02 火柴梗的切割

C06F1/04 在链板上充填火柴梗；卸火柴梗

C06F1/06 火柴的浸沾、涂敷、浸渍或干燥的方法

C06F1/08 链板

C06F1/10 链板导向装置

C06F1/12 火柴的装盒

C06F1/14 擦火片的生产

C06F1/16 互相连接的（如成条的或成片的）火柴生产

C06F1/18 与火柴生产过程相结合的火柴或火柴盒上的印刷

C06F1/20 擦火面层的涂敷，如在火柴盒、在火柴簿上

C06F1/22 火柴簿、火柴包或火柴卷的生产

C06F1/24 防火安全装置

C06F1/26 火柴生产全过程用生产线

