Title: 改变传热的装置，例如增加、减少（F28F1/00至F28F11/00优先）

Code: F28F13/00

========================================

F28F13/02 通过影响流体的边界（一般的边界层控制入F15D）

F28F13/04 通过防止在热交换表面上形成冷凝物连续膜，例如促进小滴的形成

F28F13/06 通过影响热交换介质的流动型式

F28F13/08 通过改变流动通道横截面的

F28F13/10 把脉动运动传给流动方法，例如利用声音振动

F28F13/12 通过产生湍流的，例如用搅拌法，用增加环流动力的方法（F28F13/08优先）

F28F13/14 通过使通道壁处于不同程度传热的区间

F28F13/16 通过在热交换介质体上加上静电场的方法

F28F13/18 用涂层法，例如吸收热辐射、反射热辐射；用表面处理法，例如抛光

