Title: 聚合后处理（C08F8/00优先；有关共轭二烯橡胶的入C08C）

Code: C08F6/00

========================================

C08F6/02 聚合体的中和，例如催化剂的抑制（快速中止入C08F2/42）

C08F6/04 分级

C08F6/06 聚合物溶液的处理

C08F6/08 除去催化剂残渣

C08F6/10 除去挥发性物质，例如单体、溶剂

C08F6/12 从溶液分离聚合物

C08F6/14 聚合物乳液的处理

C08F6/16 精制

C08F6/18 增加分散粒子的粒度

C08F6/20 浓缩

C08F6/22 凝结

C08F6/24 聚合悬浮液的处理

C08F6/26 本体聚合制备的聚合物的处理

C08F6/28 精制

