Title: 具有1个或更多的不饱和脂族基化合物的均聚物，每个不饱和脂族基只有1个碳-碳双键， 并且至少有1个是以醇、醚、醛、酮、醛缩醇或酮缩醇基为终端

Code: C08F116/00

========================================

C08F116/02 以醇基

C08F116/04 无环化合物

C08F116/06 聚乙烯醇

C08F116/08 烯丙基醇

C08F116/10 碳环化合物

C08F116/12 以醚基

C08F116/14 仅含1个不饱和脂族基的单体

C08F116/16 除醚的氧外不含杂原子的单体

C08F116/18 无环化合物

C08F116/20 在不饱和脂族基中含3个或更多碳原子的单体

C08F116/34 以1个醛基

C08F116/36 以1个酮基

C08F116/38 以1个醛缩醇或1个酮缩醇基

