Title: 具有1个或更多不饱和脂族基化合物的均聚物，每个不饱和脂族基只有1个碳-碳双键，并 且至少有1个是以芳族碳环为终端

Code: C08F112/00

========================================

C08F112/02 只含有1个不饱和脂族基的单体

C08F112/04 含1个环

C08F112/06 烃

C08F112/08 苯乙烯

C08F112/12 含1个连接到环上的支化的不饱和脂族基团或烷基基团

C08F112/14 以杂原子或含杂原子的基团取代的

C08F112/32 含两个或更多的环

C08F112/34 含两个或更多不饱和脂族基的单体

C08F112/36 二乙烯基苯

