Title: 由单体接到引入脂肪族不饱和端基或侧基而改性的聚合物上而得到的高分子化合物

Code: C08F290/00

========================================

C08F290/02 接到引入不饱和端基而改性的聚合物上

C08F290/04 包含在C08C或C08F小类中的聚合物

C08F290/06 包含在C08G小类中的聚合物

C08F290/08 接到引入不饱和侧基而改性的聚合物上

C08F290/10 包含在C08B小类中的聚合物

C08F290/12 包含在C08C或C08F小类中的聚合物

C08F290/14 包含在C08G小类中的聚合物

