Title: 具有1个或更多的不饱和脂族基化合物的均聚物，每个不饱和脂族基只有1个碳-碳双键， 并且至少有1个是以饱和羧酸、碳酸或卤甲酸的酰氧基为终端

Code: C08F118/00

========================================

C08F118/02 一元羧酸的酯

C08F118/04 乙烯基酯

C08F118/06 甲酸乙烯酯

C08F118/08 乙酸乙烯酯

C08F118/10 含3个或更多碳原子的一元羧酸

C08F118/12 与含3个或更多碳原子的不饱和醇的

C08F118/14 多元羧酸酯

C08F118/16 与含3个或更多碳原子的醇

C08F118/18 邻苯二甲酸二烯丙酯

