Title: 具有1个或更多不饱和脂族基化合物的共聚物，每个不饱和脂族基只有1个碳-碳双键，并 且至少有1个是以醇、醚、醛、酮、醛缩醇或酮缩醇基为终端

Code: C08F216/00

========================================

C08F216/02 以醇基

C08F216/04 无环化合物

C08F216/06 聚乙烯醇

C08F216/08 烯丙基醇

C08F216/10 碳环化合物

C08F216/12 以1个醚基

C08F216/14 只含1个不饱和脂族基的单体

C08F216/16 除醚基的氧外不含其他杂原子的单体

C08F216/18 无环化合物

C08F216/20 在不饱和脂族基中含有3个或更多碳原子的单体

C08F216/34 以1个醛基

C08F216/36 以1个酮基

C08F216/38 以1个醛缩醇或酮缩醇基

