Title: 具有1个或更多的不饱和脂族基化合物的均聚物，每个不饱和脂族基只有1个碳-碳双键， 并且至少有1个是以卤素为终端

Code: C08F114/00

========================================

C08F114/02 含氯单体

C08F114/04 含两个碳原子的单体

C08F114/06 氯乙烯

C08F114/08 偏二氯乙烯

C08F114/12 1,2-二氯乙烯

C08F114/14 含3个或更多碳原子的单体

C08F114/16 含溴或碘的单体

C08F114/18 含氟单体

C08F114/20 氟乙烯

C08F114/22 偏二氟乙烯

C08F114/24 三氟氯乙烯

C08F114/26 四氟乙烯

C08F114/28 六氟丙烯

